ColorType#getID():::Returns a unique id, as an integer, for this ColorType.:::return
ColorType#toString():::Returns the textual description of this ColorType:::return
DefaultSynthStyleFactory#addStyle(DefaultSynthStyle, String, int)::: default synth style factory add style:::if->if->_styles->StyleAssociation->createStyleAssociation->add->else->if->_styles->StyleAssociation->path->toLowerCase->createStyleAssociation->add
DefaultSynthStyleFactory#getStyle(JComponent, Region):::Returns the style for the specified Component.:::matches->matches->clear->getMatchingStyles->if->matches->size->return->getDefaultStyle->matches->cacheHashCode->style->getCachedStyle->if->mergeStyles->if->cacheStyle->return
DefaultSynthStyleFactory#getDefaultStyle():::Returns the style to use if there are no matching styles.:::if->new->DefaultSynthStyle->new->FontUIResource->setFont->return
DefaultSynthStyleFactory#getMatchingStyles(List, JComponent, Region):::Fetches any styles that match the passed into arguments into matches.:::idName->id->getLowerCaseName->cName->c->getName->if->for->counter->_styles->size
DefaultSynthStyleFactory#cacheStyle(List, SynthStyle):::Caches the specified style.:::cachedStyles->new->BakedArrayList<>->_resolvedStyles->put
DefaultSynthStyleFactory#getCachedStyle(List):::Returns the cached style from the passed in arguments.:::if->styles->size->return->return->_resolvedStyles->get
DefaultSynthStyleFactory#mergeStyles(List):::Creates a single Style from the passed in styles:::size->styles->size->if->return->else->if->return->styles->get->clone->style->styles->get->style->clone->for->counter->return
ImagePainter#getPaint9Painter()::: image painter get paint9 painter:::synchronized->cacheRef->AppContext->getAppContext->get->painter->if->cacheRef->get->new->Paint9Painter->new->WeakReference<Paint9Painter>->AppContext->getAppContext->put->return
ImagePainter#getTiles()::: image painter get tiles:::return
ImagePainter#getPaintsCenter()::: image painter get paints center:::return
ImagePainter#getCenter()::: image painter get center:::return
ImagePainter#getInsets(Insets)::: image painter get insets:::if->return->clone->return
ImagePainter#getImage()::: image painter get image:::if->new->ImageIcon->getImage->return
ImagePainter#paint(SynthContext, Graphics, int, int, int, int)::: image painter paint:::image->getImage->if->Paint9Painter->validImage->type->if->getCenter->else->if->getTiles->else->mask->if->getCenter->getPaintsCenter->imageCache->context->getComponent->paint
ParsedSynthStyle.DelegatingPainter#paintToolBarDragWindowBorder(SynthContext, Graphics, int, int, int, int)::: delegating painter paint tool bar drag window border:::getPainter->paintToolBarDragWindowBorder
ParsedSynthStyle.DelegatingPainter#paintToolBarDragWindowBorder(SynthContext, Graphics, int, int, int, int, int)::: delegating painter paint tool bar drag window border:::getPainter->paintToolBarDragWindowBorder
ParsedSynthStyle.DelegatingPainter#paintToolTipBackground(SynthContext, Graphics, int, int, int, int)::: delegating painter paint tool tip background:::getPainter->paintToolTipBackground
ParsedSynthStyle.DelegatingPainter#paintToolTipBorder(SynthContext, Graphics, int, int, int, int)::: delegating painter paint tool tip border:::getPainter->paintToolTipBorder
ParsedSynthStyle.DelegatingPainter#paintTreeBackground(SynthContext, Graphics, int, int, int, int)::: delegating painter paint tree background:::getPainter->paintTreeBackground
ParsedSynthStyle.DelegatingPainter#paintTreeBorder(SynthContext, Graphics, int, int, int, int)::: delegating painter paint tree border:::getPainter->paintTreeBorder
ParsedSynthStyle.DelegatingPainter#paintTreeCellBackground(SynthContext, Graphics, int, int, int, int)::: delegating painter paint tree cell background:::getPainter->paintTreeCellBackground
ParsedSynthStyle.DelegatingPainter#paintTreeCellBorder(SynthContext, Graphics, int, int, int, int)::: delegating painter paint tree cell border:::getPainter->paintTreeCellBorder
ParsedSynthStyle.DelegatingPainter#paintTreeCellFocus(SynthContext, Graphics, int, int, int, int)::: delegating painter paint tree cell focus:::getPainter->paintTreeCellFocus
ParsedSynthStyle.DelegatingPainter#paintViewportBackground(SynthContext, Graphics, int, int, int, int)::: delegating painter paint viewport background:::getPainter->paintViewportBackground
ParsedSynthStyle.DelegatingPainter#paintViewportBorder(SynthContext, Graphics, int, int, int, int)::: delegating painter paint viewport border:::getPainter->paintViewportBorder
Region#getUItoRegionMap()::: region get ito region map:::context->AppContext->getAppContext->map->context->get->if->new->HashMap<String,Region>->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->map->put->context->put->return
Region#getLowerCaseNameMap()::: region get lower case name map:::context->AppContext->getAppContext->map->context->get->if->new->HashMap<Region,String>->context->put->return
Region#getRegion(JComponent)::: region get region:::return->getUItoRegionMap->c->getUIClassID->get
Region#registerUIs(UIDefaults)::: region register is:::foreach->getUItoRegionMap->keySet->table->put
Region#isSubregion():::Returns true if the Region is a subregion of a Component, otherwise false:::return
Region#getName():::Returns the name of the region.:::return
Region#getLowerCaseName():::Returns the name, in lowercase.:::lowerCaseNameMap->getLowerCaseNameMap->lowerCaseName->lowerCaseNameMap->get->if->name->toLowerCase->lowerCaseNameMap->put->return
Region#toString():::Returns the name of the Region.:::return
SynthArrowButton#getUIClassID()::: synth arrow button get class d:::return
SynthArrowButton#updateUI()::: synth arrow button update i:::new->SynthArrowButtonUI->setUI
SynthArrowButton#setDirection(int)::: synth arrow button set direction:::Integer->valueOf->putClientProperty->repaint
SynthArrowButton#getDirection()::: synth arrow button get direction:::return
SynthArrowButton#setFocusable(boolean)::: synth arrow button set focusable:::
SynthArrowButton.SynthArrowButtonUI#installDefaults(AbstractButton)::: synth arrow button i install defaults:::super->installDefaults->updateStyle
SynthArrowButton.SynthArrowButtonUI#paint(SynthContext, Graphics)::: synth arrow button i paint:::button->context->getComponent->context->getPainter->button->getWidth->button->getHeight->button->getDirection->paintArrowButtonForeground
SynthArrowButton.SynthArrowButtonUI#paintBackground(SynthContext, Graphics, JComponent)::: synth arrow button i paint background:::context->getPainter->c->getWidth->c->getHeight->paintArrowButtonBackground
SynthArrowButton.SynthArrowButtonUI#paintBorder(SynthContext, Graphics, int, int, int, int)::: synth arrow button i paint border:::context->getPainter->paintArrowButtonBorder
SynthArrowButton.SynthArrowButtonUI#getMinimumSize()::: synth arrow button i get minimum size:::return->new->Dimension
SynthArrowButton.SynthArrowButtonUI#getMaximumSize()::: synth arrow button i get maximum size:::return->new->Dimension
SynthArrowButton.SynthArrowButtonUI#getPreferredSize(JComponent)::: synth arrow button i get preferred size:::context->getContext->dim->if->context->getComponent->getName->context->getStyle->get->if->size->context->getStyle->getInt->new->Dimension->parent->context->getComponent->getParent->if->scaleKey->getClientProperty->if->if->equals->new->Dimension->else->if->equals->new->Dimension->else->if->equals->new->Dimension->return
SynthBorder#paintBorder(Component, Graphics, int, int, int, int)::: synth border paint border:::jc->context->ui->getContext->style->context->getStyle->if->return->ui->paintBorder
SynthBorder#getBorderInsets(Component, Insets):::Reinitializes the insets parameter with this Border's current Insets.:::if->if->new->Insets->else->else->if->new->Insets->else->if->region->Region->getRegion->margin->if->getMargin->else->if->getMargin->else->if->getMargin->else->if->getMargin->if->return
SynthBorder#isBorderOpaque():::This default implementation returns false.:::return
SynthButtonUI#createUI(JComponent):::Creates a new UI object for the given component.:::return->new->SynthButtonUI
SynthButtonUI#installDefaults(AbstractButton)::: synth button i install defaults:::updateStyle->LookAndFeel->installProperty
SynthButtonUI#installListeners(AbstractButton)::: synth button i install listeners:::super->installListeners->b->addPropertyChangeListener
SynthButtonUI#updateStyle(AbstractButton)::: synth button i update style:::context->getContext->oldStyle->SynthLookAndFeel->updateStyle->if->if->b->getMargin->b->getMargin->margin->style->getPropertyPrefix->get->if->b->setMargin->value->style->getPropertyPrefix->get->if->LookAndFeel->installProperty->style->getPropertyPrefix->get->LookAndFeel->installProperty->if->uninstallKeyboardActions->installKeyboardActions
SynthButtonUI#uninstallListeners(AbstractButton)::: synth button i uninstall listeners:::super->uninstallListeners->b->removePropertyChangeListener
SynthButtonUI#uninstallDefaults(AbstractButton)::: synth button i uninstall defaults:::context->getContext->style->uninstallDefaults
SynthButtonUI#getContext(JComponent)::: synth button i get context:::return->getComponentState->getContext
SynthButtonUI#getContext(JComponent, int)::: synth button i get context:::return->SynthContext->getContext
SynthButtonUI#getComponentState(JComponent):::Returns the current state of the passed in AbstractButton.:::state->if->c->isEnabled->if->SynthLookAndFeel->getSelectedUI->return->SynthLookAndFeel->getSelectedUIState->button->model->button->getModel->if->model->isPressed->if->model->isArmed->else->if->model->isRollover->if->model->isSelected->if->c->isFocusOwner->button->isFocusPainted->if->isDefaultButton->return
SynthButtonUI#getBaseline(JComponent, int, int)::: synth button i get baseline:::if->throw->new->NullPointerException->if->throw->new->IllegalArgumentException->b->text->b->getText->if->equals->return->i->b->getInsets->viewRect->new->Rectangle->textRect->new->Rectangle->iconRect->new->Rectangle->context->getContext->fm->context->getComponent->context->getStyle->getFont->getFontMetrics->context->getStyle->getGraphicsUtils->b->getText->b->getIcon->b->getHorizontalAlignment->b->getVerticalAlignment->b->getHorizontalTextPosition->b->getVerticalTextPosition->b->getIconTextGap->layoutText->view->b->getClientProperty->baseline->if->BasicHTML->getHTMLBaseline->if->else->fm->getAscent->return
SynthButtonUI#update(Graphics, JComponent):::Notifies this UI delegate to repaint the specified component:::context->getContext->SynthLookAndFeel->update->paintBackground->paint
SynthButtonUI#paint(Graphics, JComponent):::Paints the specified component according to the Look and Feel:::context->getContext->paint
SynthButtonUI#paint(SynthContext, Graphics):::Paints the specified component.:::b->context->getComponent->g->context->getStyle->getColor->setColor->g->style->getFont->setFont->context->getStyle->getGraphicsUtils->b->getText->getIcon->b->getHorizontalAlignment->b->getVerticalAlignment->b->getHorizontalTextPosition->b->getVerticalTextPosition->b->getIconTextGap->b->getDisplayedMnemonicIndex->getTextShiftOffset->paintText
SynthButtonUI#paintBackground(SynthContext, Graphics, JComponent)::: synth button i paint background:::if->isContentAreaFilled->context->getPainter->c->getWidth->c->getHeight->paintButtonBackground
SynthButtonUI#paintBorder(SynthContext, Graphics, int, int, int, int)::: synth button i paint border:::context->getPainter->paintButtonBorder
SynthButtonUI#getDefaultIcon(AbstractButton):::Returns the default icon:::context->getContext->icon->context->getStyle->getPropertyPrefix->getIcon->return
SynthButtonUI#getIcon(AbstractButton):::Returns the Icon to use for painting the button:::icon->b->getIcon->model->b->getModel->if->model->isEnabled->getSynthDisabledIcon->else->if->model->isPressed->model->isArmed->getSelectedIcon->getPressedIcon->else->if->b->isRolloverEnabled->model->isRollover->getSelectedIcon->getRolloverIcon->else->if->model->isSelected->getSelectedIcon->else->getEnabledIcon->if->return->getDefaultIcon->return
SynthButtonUI#getIcon(AbstractButton, Icon, Icon, int):::This method will return the icon that should be used for a button:::icon->if->if->getSynthIcon->if->else->return
SynthButtonUI#getSynthIcon(AbstractButton, int)::: synth button i get synth icon:::return->style->getContext->getPropertyPrefix->getIcon
SynthButtonUI#getEnabledIcon(AbstractButton, Icon)::: synth button i get enabled icon:::if->getSynthIcon->return
SynthButtonUI#getSelectedIcon(AbstractButton, Icon)::: synth button i get selected icon:::return->b->getSelectedIcon->getIcon
SynthButtonUI#getRolloverIcon(AbstractButton, Icon)::: synth button i get rollover icon:::return->b->getRolloverSelectedIcon->b->getRolloverIcon->getSpecificIcon
SynthButtonUI#getPressedIcon(AbstractButton, Icon)::: synth button i get pressed icon:::return->b->getPressedIcon->getIcon
SynthButtonUI#getSynthDisabledIcon(AbstractButton, Icon)::: synth button i get synth disabled icon:::return->b->getDisabledSelectedIcon->b->getDisabledIcon->getSpecificIcon
SynthButtonUI#getSpecificIcon(AbstractButton, Icon, Icon, Icon, int)::: synth button i get specific icon:::selected->b->getModel->isSelected->icon->if->if->b->getSelectedIcon->if->if->return->if->if->getSynthIcon->if->getSynthIcon->if->getSynthIcon->return
SynthButtonUI#getTextShiftOffset(SynthContext):::Returns the amount to shift the text/icon when painting.:::button->state->getComponent->model->button->getModel->if->model->isArmed->model->isPressed->button->getPressedIcon->return->state->getStyle->getPropertyPrefix->getInt->return
SynthButtonUI#getMinimumSize(JComponent)::: synth button i get minimum size:::if->c->getComponentCount->c->getLayout->return->b->ss->getContext->size->ss->getStyle->getGraphicsUtils->ss->getStyle->getFont->b->getText->getSizingIcon->b->getHorizontalAlignment->b->getVerticalAlignment->b->getHorizontalTextPosition->b->getVerticalTextPosition->b->getIconTextGap->b->getDisplayedMnemonicIndex->getMinimumSize->return
SynthButtonUI#getPreferredSize(JComponent)::: synth button i get preferred size:::if->c->getComponentCount->c->getLayout->return->b->ss->getContext->size->ss->getStyle->getGraphicsUtils->ss->getStyle->getFont->b->getText->getSizingIcon->b->getHorizontalAlignment->b->getVerticalAlignment->b->getHorizontalTextPosition->b->getVerticalTextPosition->b->getIconTextGap->b->getDisplayedMnemonicIndex->getPreferredSize->return
SynthButtonUI#getMaximumSize(JComponent)::: synth button i get maximum size:::if->c->getComponentCount->c->getLayout->return->b->ss->getContext->size->ss->getStyle->getGraphicsUtils->ss->getStyle->getFont->b->getText->getSizingIcon->b->getHorizontalAlignment->b->getVerticalAlignment->b->getHorizontalTextPosition->b->getVerticalTextPosition->b->getIconTextGap->b->getDisplayedMnemonicIndex->getMaximumSize->return
SynthButtonUI#getSizingIcon(AbstractButton):::Returns the Icon used in calculating the preferred/minimum/maximum size.:::icon->b->getIcon->getEnabledIcon->if->getDefaultIcon->return
SynthButtonUI#propertyChange(PropertyChangeEvent)::: synth button i property change:::if->SynthLookAndFeel->shouldUpdateStyle->e->getSource->updateStyle
SynthCheckBoxMenuItemUI#createUI(JComponent):::Creates a new UI object for the given component.:::return->new->SynthCheckBoxMenuItemUI
SynthCheckBoxMenuItemUI#getPropertyPrefix()::: synth check box menu item i get property prefix:::return
SynthCheckBoxMenuItemUI#paintBackground(SynthContext, Graphics, JComponent)::: synth check box menu item i paint background:::context->getPainter->c->getWidth->c->getHeight->paintCheckBoxMenuItemBackground
SynthCheckBoxMenuItemUI#paintBorder(SynthContext, Graphics, int, int, int, int)::: synth check box menu item i paint border:::context->getPainter->paintCheckBoxMenuItemBorder
SynthCheckBoxUI#createUI(JComponent):::Creates a new UI object for the given component.:::return->new->SynthCheckBoxUI
SynthCheckBoxUI#getPropertyPrefix()::: synth check box i get property prefix:::return
SynthCheckBoxUI#paintBackground(SynthContext, Graphics, JComponent)::: synth check box i paint background:::context->getPainter->c->getWidth->c->getHeight->paintCheckBoxBackground
SynthCheckBoxUI#paintBorder(SynthContext, Graphics, int, int, int, int)::: synth check box i paint border:::context->getPainter->paintCheckBoxBorder
SynthColorChooserUI#createUI(JComponent):::Creates a new UI object for the given component.:::return->new->SynthColorChooserUI
SynthColorChooserUI#createDefaultChoosers()::: synth color chooser i create default choosers:::context->getContext->panels->context->getStyle->get->if->ColorChooserComponentFactory->getDefaultChooserPanels->return
SynthColorChooserUI#installDefaults()::: synth color chooser i install defaults:::super->installDefaults->updateStyle
SynthColorChooserUI#updateStyle(JComponent)::: synth color chooser i update style:::context->getContext->SynthLookAndFeel->updateStyle
SynthColorChooserUI#uninstallDefaults()::: synth color chooser i uninstall defaults:::context->getContext->style->uninstallDefaults->super->uninstallDefaults
SynthColorChooserUI#installListeners()::: synth color chooser i install listeners:::super->installListeners->chooser->addPropertyChangeListener
SynthColorChooserUI#uninstallListeners()::: synth color chooser i uninstall listeners:::chooser->removePropertyChangeListener->super->uninstallListeners
SynthColorChooserUI#getContext(JComponent)::: synth color chooser i get context:::return->getComponentState->getContext
SynthColorChooserUI#getContext(JComponent, int)::: synth color chooser i get context:::return->SynthContext->getContext
SynthColorChooserUI#getComponentState(JComponent)::: synth color chooser i get component state:::return->SynthLookAndFeel->getComponentState
SynthColorChooserUI#update(Graphics, JComponent):::Notifies this UI delegate to repaint the specified component:::context->getContext->SynthLookAndFeel->update->context->getPainter->c->getWidth->c->getHeight->paintColorChooserBackground->paint
SynthColorChooserUI#paint(Graphics, JComponent):::Paints the specified component according to the Look and Feel:::context->getContext->paint
SynthColorChooserUI#paint(SynthContext, Graphics):::Paints the specified component:::
SynthColorChooserUI#paintBorder(SynthContext, Graphics, int, int, int, int)::: synth color chooser i paint border:::context->getPainter->paintColorChooserBorder
SynthColorChooserUI#propertyChange(PropertyChangeEvent)::: synth color chooser i property change:::if->SynthLookAndFeel->shouldUpdateStyle->e->getSource->updateStyle
SynthComboBoxUI#createUI(JComponent):::Creates a new UI object for the given component.:::return->new->SynthComboBoxUI
SynthComboBoxUI#installUI(JComponent):::  Overridden to ensure that ButtonHandler is created prior to any of the other installXXX methods, since several of them reference buttonHandler.:::new->ButtonHandler->super->installUI
SynthComboBoxUI#installDefaults()::: synth combo box i install defaults:::updateStyle
SynthComboBoxUI#updateStyle(JComboBox)::: synth combo box i update style:::oldStyle->context->getContext->SynthLookAndFeel->updateStyle->if->style->get->style->get->style->getBoolean->style->getBoolean->style->getBoolean->style->getBoolean->if->uninstallKeyboardActions->installKeyboardActions->style->getBoolean->if->SynthLookAndFeel->updateStyles
SynthComboBoxUI#installListeners()::: synth combo box i install listeners:::comboBox->addPropertyChangeListener->comboBox->addMouseListener->new->EditorFocusHandler->super->installListeners
SynthComboBoxUI#uninstallUI(JComponent)::: synth combo box i uninstall i:::if->removePopupMenuListener->super->uninstallUI
SynthComboBoxUI#uninstallDefaults()::: synth combo box i uninstall defaults:::context->getContext->style->uninstallDefaults
SynthComboBoxUI#uninstallListeners()::: synth combo box i uninstall listeners:::editorFocusHandler->unregister->comboBox->removePropertyChangeListener->comboBox->removeMouseListener->super->uninstallListeners
SynthComboBoxUI#getContext(JComponent)::: synth combo box i get context:::return->getComponentState->getContext
SynthComboBoxUI#getContext(JComponent, int)::: synth combo box i get context:::return->SynthContext->getContext
SynthComboBoxUI#getComponentState(JComponent)::: synth combo box i get component state:::if->return->SynthLookAndFeel->getComponentState->box->if->shouldActLikeButton->state->if->c->isEnabled->if->buttonHandler->isPressed->if->buttonHandler->isRollover->if->box->isFocusOwner->return->else->basicState->SynthLookAndFeel->getComponentState->if->box->isEditable->box->getEditor->getEditorComponent->isFocusOwner->return
SynthComboBoxUI#createPopup()::: synth combo box i create popup:::p->new->SynthComboPopup->p->addPopupMenuListener->return
SynthComboBoxUI#createRenderer()::: synth combo box i create renderer:::return->new->SynthComboBoxRenderer
SynthComboBoxUI#createEditor()::: synth combo box i create editor:::return->new->SynthComboBoxEditor
SynthComboBoxUI#propertyChange(PropertyChangeEvent)::: synth combo box i property change:::if->SynthLookAndFeel->shouldUpdateStyle->updateStyle
SynthComboBoxUI#createArrowButton()::: synth combo box i create arrow button:::button->new->SynthArrowButton->button->setName->button->setModel->return
SynthComboBoxUI#update(Graphics, JComponent):::Notifies this UI delegate to repaint the specified component:::context->getContext->SynthLookAndFeel->update->context->getPainter->c->getWidth->c->getHeight->paintComboBoxBackground->paint
SynthComboBoxUI#paint(Graphics, JComponent):::Paints the specified component according to the Look and Feel:::context->getContext->paint
SynthComboBoxUI#paint(SynthContext, Graphics):::Paints the specified component.:::comboBox->hasFocus->if->comboBox->isEditable->r->rectangleForCurrentValue->paintCurrentValue
SynthComboBoxUI#paintBorder(SynthContext, Graphics, int, int, int, int)::: synth combo box i paint border:::context->getPainter->paintComboBoxBorder
SynthComboBoxUI#paintCurrentValue(Graphics, Rectangle, boolean):::Paints the currently selected item.:::renderer->comboBox->getRenderer->c->renderer->comboBox->getSelectedItem->getListCellRendererComponent->shouldValidate->if->if->c->setName->force->if->setOpaque->x->y->w->h->if->currentValuePane->paintComponent->if->setOpaque
SynthComboBoxUI#shouldActLikeButton()::: synth combo box i should act like button:::return->comboBox->isEditable
SynthComboBoxUI#getDefaultSize():::Returns the default size of an empty display area of the combo box using the current renderer and font:::r->new->SynthComboBoxRenderer->d->r->getListCellRendererComponent->getSizeForComponent->return->new->Dimension
SynthComboBoxUI.SynthComboBoxRenderer#getName()::: synth combo box renderer get name:::name->super->getName->return
SynthComboBoxUI.SynthComboBoxRenderer#getListCellRendererComponent(JList, Object, int, boolean, boolean)::: synth combo box renderer get list cell renderer component:::setName->SynthLookAndFeel->resetSelectedUI->if->list->getSelectionBackground->setBackground->list->getSelectionForeground->setForeground->if->SynthLookAndFeel->SynthLookAndFeel->getUI->getUIOfType->list->isEnabled->setSelectedUI->else->list->getBackground->setBackground->list->getForeground->setForeground->list->getFont->setFont->if->setIcon->setText->else->text->value->toString->if->equals->setText->if->comboBox->isEnabled->setEnabled->comboBox->getComponentOrientation->setComponentOrientation->return
SynthComboBoxUI.SynthComboBoxRenderer#paint(Graphics)::: synth combo box renderer paint:::super->paint->SynthLookAndFeel->resetSelectedUI
SynthComboBoxUI.SynthComboBoxEditor#createEditorComponent()::: synth combo box editor create editor component:::f->new->JTextField->f->setName->return
SynthComboBoxUI.ButtonHandler#updatePressed(boolean):::Updates the internal "pressed" state:::isEnabled->if->shouldActLikeButton->comboBox->repaint
SynthComboBoxUI.ButtonHandler#updateOver(boolean):::Updates the internal "over" state:::old->isRollover->isEnabled->newo->isRollover->if->shouldActLikeButton->comboBox->repaint
SynthComboBoxUI.ButtonHandler#isPressed()::: button handler is pressed:::b->shouldActLikeButton->super->isPressed->return->comboBox->isPopupVisible
SynthComboBoxUI.ButtonHandler#isArmed()::: button handler is armed:::b->shouldActLikeButton->comboBox->isPopupVisible->return->isPressed->super->isArmed
SynthComboBoxUI.ButtonHandler#isRollover()::: button handler is rollover:::return->shouldActLikeButton->super->isRollover
SynthComboBoxUI.ButtonHandler#setPressed(boolean)::: button handler set pressed:::super->setPressed->updatePressed
SynthComboBoxUI.ButtonHandler#setRollover(boolean)::: button handler set rollover:::super->setRollover->updateOver
SynthComboBoxUI.ButtonHandler#mouseEntered(MouseEvent)::: button handler mouse entered:::updateOver
SynthComboBoxUI.ButtonHandler#mouseExited(MouseEvent)::: button handler mouse exited:::updateOver
SynthComboBoxUI.ButtonHandler#mousePressed(MouseEvent)::: button handler mouse pressed:::updatePressed
SynthComboBoxUI.ButtonHandler#mouseReleased(MouseEvent)::: button handler mouse released:::updatePressed
SynthComboBoxUI.ButtonHandler#mouseClicked(MouseEvent)::: button handler mouse clicked:::
SynthComboBoxUI.ButtonHandler#popupMenuCanceled(PopupMenuEvent)::: button handler popup menu canceled:::if->shouldActLikeButton->comboBox->repaint
SynthComboBoxUI.ButtonHandler#popupMenuWillBecomeVisible(PopupMenuEvent)::: button handler popup menu will become visible:::
SynthComboBoxUI.ButtonHandler#popupMenuWillBecomeInvisible(PopupMenuEvent)::: button handler popup menu will become invisible:::
SynthComboBoxUI.EditorFocusHandler#unregister()::: editor focus handler unregister:::comboBox->removePropertyChangeListener->if->editorComponent->removeFocusListener
SynthComboBoxUI.EditorFocusHandler#focusGained(FocusEvent):::Invoked when a component gains the keyboard focus.:::comboBox->repaint
SynthComboBoxUI.EditorFocusHandler#focusLost(FocusEvent):::Invoked when a component loses the keyboard focus.:::comboBox->repaint
SynthComboBoxUI.EditorFocusHandler#propertyChange(PropertyChangeEvent):::Called when the combos editor changes:::newEditor->comboBox->getEditor->if->if->editorComponent->removeFocusListener->if->editor->getEditorComponent->if->editorComponent->addFocusListener
SynthComboPopup#configureList():::Configures the list which is used to hold the combo box items in the popup:::list->comboBox->getFont->setFont->list->comboBox->getRenderer->setCellRenderer->list->setFocusable->list->setSelectionMode->selectedIndex->comboBox->getSelectedIndex->if->list->clearSelection->else->list->setSelectedIndex->list->ensureIndexIsVisible->installListListeners
SynthComboPopup#computePopupBounds(int, int, int, int)::: synth combo popup compute popup bounds:::ui->comboBox->getUI->if->sui->if->i->return->super->computePopupBounds->return->super->computePopupBounds
SynthContext#getContext(JComponent, SynthStyle, int)::: synth context get context:::return->SynthLookAndFeel->getRegion->getContext
SynthContext#getContext(JComponent, Region, SynthStyle, int)::: synth context get context:::context->new->SynthContext->return
SynthContext#getComponent():::Returns the hosting component containing the region.:::return
SynthContext#getRegion():::Returns the Region identifying this state.:::return
SynthContext#isSubregion():::A convenience method for getRegion().isSubregion().:::return->getRegion->isSubregion
SynthContext#setStyle(SynthStyle)::: synth context set style:::
SynthContext#getStyle():::Returns the style associated with this Region.:::return
SynthContext#setComponentState(int)::: synth context set component state:::
SynthContext#getComponentState():::Returns the state of the widget, which is a bitmask of the values defined in SynthConstants:::return
SynthContext#getPainter():::Convenience method to get the Painter from the current SynthStyle:::painter->getStyle->getPainter->if->return->return
SynthDefaultLookup#getDefault(JComponent, ComponentUI, String)::: synth default lookup get default:::if->value->super->getDefault->return->context->getContext->value->context->getStyle->get->return
SynthDesktopIconUI#createUI(JComponent):::Creates a new UI object for the given component.:::return->new->SynthDesktopIconUI
SynthDesktopIconUI#installComponents()::: synth desktop icon i install components:::if->UIManager->getBoolean->tmp->frame->getTitle->frame->getFrameIcon->new->JToggleButton->ToolTipManager->sharedInstance->registerComponent->iconPane->desktopIcon->getFont->setFont->iconPane->desktopIcon->getBackground->setBackground->iconPane->desktopIcon->getForeground->setForeground->else->new->SynthInternalFrameTitlePane->iconPane->setName->desktopIcon->new->BorderLayout->setLayout->desktopIcon->add
SynthDesktopIconUI#installListeners()::: synth desktop icon i install listeners:::super->installListeners->desktopIcon->addPropertyChangeListener->if->frame->addPropertyChangeListener->addActionListener
SynthDesktopIconUI#uninstallListeners()::: synth desktop icon i uninstall listeners:::if->removeActionListener->frame->removePropertyChangeListener->desktopIcon->removePropertyChangeListener->super->uninstallListeners
SynthDesktopIconUI#installDefaults()::: synth desktop icon i install defaults:::updateStyle
SynthDesktopIconUI#updateStyle(JComponent)::: synth desktop icon i update style:::context->getContext->SynthLookAndFeel->updateStyle
SynthDesktopIconUI#uninstallDefaults()::: synth desktop icon i uninstall defaults:::context->getContext->style->uninstallDefaults
SynthDesktopIconUI#getContext(JComponent)::: synth desktop icon i get context:::return->getComponentState->getContext
SynthDesktopIconUI#getContext(JComponent, int)::: synth desktop icon i get context:::return->SynthContext->getContext
SynthDesktopIconUI#getComponentState(JComponent)::: synth desktop icon i get component state:::return->SynthLookAndFeel->getComponentState
SynthDesktopIconUI#update(Graphics, JComponent):::Notifies this UI delegate to repaint the specified component:::context->getContext->SynthLookAndFeel->update->context->getPainter->c->getWidth->c->getHeight->paintDesktopIconBackground->paint
SynthDesktopIconUI#paint(Graphics, JComponent):::Paints the specified component according to the Look and Feel:::context->getContext->paint
SynthDesktopIconUI#paint(SynthContext, Graphics):::Paints the specified component:::
SynthDesktopIconUI#paintBorder(SynthContext, Graphics, int, int, int, int)::: synth desktop icon i paint border:::context->getPainter->paintDesktopIconBorder
SynthDesktopIconUI#propertyChange(PropertyChangeEvent)::: synth desktop icon i property change:::if->evt->getSource->if->SynthLookAndFeel->shouldUpdateStyle->evt->getSource->updateStyle->else->if->evt->getSource->frame->evt->getSource->if->button->prop->evt->getPropertyName->if->button->evt->getNewValue->setText->else->if->button->evt->getNewValue->setIcon->else->if->button->frame->isIcon->frame->isSelected->setSelected
SynthDesktopIconUI.Handler#actionPerformed(ActionEvent)::: handler action performed:::if->evt->getSource->button->evt->getSource->try->selected->button->isSelected->if->frame->isIconifiable->button->setSelected->else->frame->setIcon->if->frame->setSelected->catch->finally
SynthDesktopPaneUI#createUI(JComponent):::Creates a new UI object for the given component.:::return->new->SynthDesktopPaneUI
SynthDesktopPaneUI#installListeners()::: synth desktop pane i install listeners:::super->installListeners->desktop->addPropertyChangeListener->if->desktop->addComponentListener->desktop->addContainerListener
SynthDesktopPaneUI#installDefaults()::: synth desktop pane i install defaults:::updateStyle->if->UIManager->getBoolean->new->TaskBar->foreach->desktop->getComponents->desktopIcon->if->else->if->getDesktopIcon->else->continue->if->desktopIcon->getParent->desktop->remove->if->desktopIcon->getParent->taskBar->add->desktopIcon->getInternalFrame->addComponentListener->taskBar->desktop->getBackground->setBackground->desktop->Integer->intValue->valueOf->add->if->desktop->isShowing->taskBar->adjustSize
