FormatData_af#getContents()::: format data_af get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_agq#getContents()::: format data_agq get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_ak#getContents()::: format data_ak get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_am#getContents()::: format data_am get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_DateTimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_ar#getContents()::: format data_ar get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_long_Eras->new->StringArr->metaValue_islamic_MonthNames->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_es#getContents()::: format data_es get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_long_Eras->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_es_419#getContents()::: format data_es_419 get contents:::metaValue_MonthAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_long_Eras->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_es_AR#getContents()::: format data_es_ r get contents:::metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_AmPmMarkers->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->return
FormatData_es_BO#getContents()::: format data_es_ o get contents:::metaValue_AmPmMarkers->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->return
FormatData_es_CL#getContents()::: format data_es_ l get contents:::metaValue_MonthAbbreviations->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_es_CO#getContents()::: format data_es_ o get contents:::metaValue_MonthAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_es_CR#getContents()::: format data_es_ r get contents:::metaValue_AmPmMarkers->new->StringArr->data->new->ObjectArrs->new->StringArr->return
FormatData_es_DO#getContents()::: format data_es_ o get contents:::metaValue_DayNarrows->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->return
FormatData_es_EC#getContents()::: format data_es_ c get contents:::metaValue_AmPmMarkers->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->return
FormatData_es_GQ#getContents()::: format data_es_ q get contents:::data->new->ObjectArrs->new->StringArr->return
FormatData_es_GT#getContents()::: format data_es_ t get contents:::metaValue_AmPmMarkers->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_es_HN#getContents()::: format data_es_ n get contents:::metaValue_AmPmMarkers->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_es_MX#getContents()::: format data_es_ x get contents:::metaValue_MonthAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_QuarterNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_es_NI#getContents()::: format data_es_ i get contents:::metaValue_AmPmMarkers->new->StringArr->data->new->ObjectArrs->return
FormatData_es_PA#getContents()::: format data_es_ a get contents:::metaValue_QuarterNames->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_es_PE#getContents()::: format data_es_ e get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_es_PH#getContents()::: format data_es_ h get contents:::metaValue_TimePatterns->new->StringArr->data->new->ObjectArrs->return
FormatData_es_PR#getContents()::: format data_es_ r get contents:::metaValue_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_es_PY#getContents()::: format data_es_ y get contents:::metaValue_MonthAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->return
FormatData_es_SV#getContents()::: format data_es_ v get contents:::metaValue_AmPmMarkers->new->StringArr->data->new->ObjectArrs->return
FormatData_es_US#getContents()::: format data_es_ s get contents:::metaValue_DayNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->return
FormatData_es_UY#getContents()::: format data_es_ y get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_es_VE#getContents()::: format data_es_ e get contents:::metaValue_MonthAbbreviations->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->return
FormatData_et#getContents()::: format data_et get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_japanese_narrow_AmPmMarkers->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_eu#getContents()::: format data_eu get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_AmPmMarkers->new->StringArr->metaValue_roc_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_ewo#getContents()::: format data_ewo get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_fa#getContents()::: format data_fa get contents:::metaValue_MonthNames->new->StringArr->metaValue_standalone_MonthNames->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_QuarterNarrows->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_abbreviated_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_long_Eras->new->StringArr->metaValue_islamic_MonthNames->new->StringArr->metaValue_islamic_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_fa_AF#getContents()::: format data_fa_ f get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->data->new->ObjectArrs->new->StringArr->return
FormatData_ff#getContents()::: format data_ff get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_ff_MR#getContents()::: format data_ff_ r get contents:::metaValue_TimePatterns->new->StringArr->data->new->ObjectArrs->return
FormatData_fi#getContents()::: format data_fi get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_Eras->new->StringArr->metaValue_islamic_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_fil#getContents()::: format data_fil get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_standalone_QuarterAbbreviations->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_DateTimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_AmPmMarkers->new->StringArr->metaValue_roc_long_Eras->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_fo#getContents()::: format data_fo get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_japanese_narrow_AmPmMarkers->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_fr#getContents()::: format data_fr get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_japanese_narrow_AmPmMarkers->new->StringArr->metaValue_roc_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_fr_BE#getContents()::: format data_fr_ e get contents:::metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_fr_CA#getContents()::: format data_fr_ a get contents:::metaValue_MonthAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_fr_CH#getContents()::: format data_fr_ h get contents:::metaValue_TimePatterns->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_fr_CM#getContents()::: format data_fr_ m get contents:::metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->data->new->ObjectArrs->return
FormatData_fr_DJ#getContents()::: format data_fr_ j get contents:::metaValue_TimePatterns->new->StringArr->data->new->ObjectArrs->return
FormatData_fr_DZ#getContents()::: format data_fr_ z get contents:::metaValue_TimePatterns->new->StringArr->data->new->ObjectArrs->return
FormatData_fr_LU#getContents()::: format data_fr_ u get contents:::data->new->ObjectArrs->new->StringArr->return
FormatData_fr_MA#getContents()::: format data_fr_ a get contents:::metaValue_MonthAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->data->new->ObjectArrs->new->StringArr->return
FormatData_fr_ML#getContents()::: format data_fr_ l get contents:::metaValue_QuarterNames->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->return
FormatData_fr_MR#getContents()::: format data_fr_ r get contents:::metaValue_TimePatterns->new->StringArr->data->new->ObjectArrs->return
FormatData_fr_SY#getContents()::: format data_fr_ y get contents:::metaValue_TimePatterns->new->StringArr->data->new->ObjectArrs->return
FormatData_fr_TD#getContents()::: format data_fr_ d get contents:::metaValue_TimePatterns->new->StringArr->data->new->ObjectArrs->return
FormatData_fr_TN#getContents()::: format data_fr_ n get contents:::metaValue_TimePatterns->new->StringArr->data->new->ObjectArrs->return
FormatData_fr_VU#getContents()::: format data_fr_ u get contents:::metaValue_TimePatterns->new->StringArr->data->new->ObjectArrs->return
FormatData_fur#getContents()::: format data_fur get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_long_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->return
FormatData_fy#getContents()::: format data_fy get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_DayNarrows->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_japanese_narrow_AmPmMarkers->new->StringArr->metaValue_roc_long_Eras->new->StringArr->metaValue_islamic_long_Eras->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_ga#getContents()::: format data_ga get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_DateTimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_buddhist_long_Eras->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_gd#getContents()::: format data_gd get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_DateTimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_roc_Eras->new->StringArr->metaValue_calendarname_gregorian->metaValue_brah_NumberElements->new->StringArr->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_gl#getContents()::: format data_gl get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_buddhist_QuarterNarrows->new->StringArr->metaValue_java_time_buddhist_DatePatterns->new->StringArr->metaValue_buddhist_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
FormatData_gsw#getContents()::: format data_gsw get contents:::metaValue_MonthNames->new->StringArr->metaValue_MonthAbbreviations->new->StringArr->metaValue_MonthNarrows->new->StringArr->metaValue_DayNames->new->StringArr->metaValue_DayAbbreviations->new->StringArr->metaValue_DayNarrows->new->StringArr->metaValue_QuarterNames->new->StringArr->metaValue_standalone_QuarterAbbreviations->new->StringArr->metaValue_AmPmMarkers->new->StringArr->metaValue_narrow_AmPmMarkers->new->StringArr->metaValue_long_Eras->new->StringArr->metaValue_TimePatterns->new->StringArr->metaValue_java_time_japanese_DatePatterns->new->StringArr->metaValue_japanese_DatePatterns->new->StringArr->metaValue_calendarname_gregorian->data->new->ObjectArrs->new->StringArr->new->StringArr->new->StringArr->new->StringArr->new->StringArr->return
